"山名，山頂名","所在市町村","標高(ｍ)","三角点名等","別称"
"護摩壇山(ごまだんざん) 　","  田辺市，奈良県","1372.0","  標高点"," ごまだんやま"
"牛廻山(うしまわしやま)","  田辺市，奈良県","1207.0","  上湯川","-"
"大塔山(おおとうざん)","  田辺市","1122.0","  大塔山","-"
"法師山(ほうしやま)","  田辺市","1121.0","  法師ノ森","-"
"白馬山(しらまやま)","  有田郡 有田川町,","957.0","  白馬岳","-"
"白馬山(しらまやま)","  日高郡 日高川町","957.0","  白馬岳","-"
"那智山(なちさん)","  東牟婁郡 那智勝浦町，","910.0","  帽子石山"," 烏帽子山（えぼしやま）"
"那智山(なちさん)","  新宮市","910.0","  帽子石山"," 烏帽子山（えぼしやま）"
"生石ヶ峰(おいしがみね)","  有田郡 有田川町,","870.0","  生石山","-"
"生石ヶ峰(おいしがみね)","  海草郡 紀美野町","870.0","  生石山","-"
"葛城山(かつらぎさん)","  紀の川市，大阪府","858.0","  標高点","-"
"龍門山(りゅうもんざん)","  紀の川市","756.0","  竜門山","-"
"善司ノ森山(ぜんじのもりやま)","  西牟婁郡 すさみ町","591.0","　善司ノ森","-"
"俎石山(そせきざん)","  和歌山市，大阪府","420.0","  俎石山","-"
