"名称","流域面積(km2)","法河川延長(km2)","水源地","下流端"
"日高川","651.8","114.745","　田辺市","　御坊市，日高郡 美浜町"
"有田川","467.8","67.2","　伊都郡 高野町","　有田市"
"日置川","414.9","56.945","　田辺市","　西牟婁郡 白浜町"
"紀の川","1750.0","55.0","　奈良県吉野郡 大台ヶ原山","　和歌山市"
"熊野川","2360.0","48.109","　奈良県吉野郡 大峰山","　新宮市，三重県南牟婁郡 紀宝町"
"貴志川","309.0","45.093","　伊都郡 高野町","　紀の川市，岩出市"
"古座川","356.0","40.4","　東牟婁郡 古座川町","　東牟婁郡 串本町"
"切目川","75.6","34.582","　日高郡 印南町","　日高郡 印南町"
"富田川","254.1","33.618","　田辺市","　西牟婁郡 白浜町"
"ぶつぶつ川","0.0","0.014","　東牟婁郡 那智勝浦町","　東牟婁郡 那智勝浦町"
